objectid,name,country,nat_leg_te,leg_rec,area_ha,gfwid,globalid,shape_Length,shape_Area
1,Takuari,Brazil,Indigenous Reserve,Y,0,3d210f94-baf0-479a-8ccb-989289119df4,{BBC882D2-AF45-4904-9ACB-1C2600F4A486},27632.9145387072,26553507.5796062
2,Acapuri de Cima,Brazil,Indigenous Territory,Y,19885.0378,9f5bf652-8585-4e42-869b-78acba5b1d76,{E8B91F91-4841-4E55-ADE1-BE60217193CF},57880.4998231087,200468142.859497
3,Acimp,Brazil,Indigenous Territory,Y,40686.034,7ef534bf-e525-417e-b384-cb0a8b943856,{6CBD0884-0B46-45F9-AB75-EBB564A96AF1},110839.064173518,416577139.475427
4,-gua Preta/Inari,Brazil,Indigenous Territory,Y,139763.6705,23ccf4a6-2d50-4bdb-b28d-95ee32b200b8,{1844CD30-4F44-4E26-BD89-654E987C4825},290215.676747697,1430571930.538
5,-guas Belas,Brazil,Indigenous Territory,Y,1189.0649,d8009aa5-161c-4373-b915-74c42ec35157,{3C448091-699A-40EE-816C-D597E00A89EA},18751.6784465596,13217148.9706284
6,Aconp,Brazil,Indigenous Reserve,Y,267.7862,03fe9706-4156-4d86-8dfc-e052fbc1dc08,{E47A035E-8B01-4E7B-8C58-D21105917712},12589.9373023863,2777966.78039202
7,Aldeia Kondß,Brazil,Indigenous Reserve,Y,2300,66ec000e-e605-47b7-bcc8-61e8b7d5b0aa,{8ADCD528-10D8-4965-8F0D-D5E50194D9AB},25560.6054777589,29457264.5968227
8,Aldeia Limpo Verde,Brazil,Indigenous Reserve,Y,668.0796,40ca8eea-aa3e-4b98-8f0a-22c0be045b80,{626A7CB5-FB56-48EE-BF6B-6952023706E1},14189.9880817155,8164188.79233361
9,Aldeia Velha,Brazil,Indigenous Territory,Y,2001,a4af221e-6877-4c47-ac2c-fb7260825037,{164728CC-5CE9-4FD9-BB29-1384B889E0AB},24925.6146288989,21902090.9573126
10,Alto Rio Guamß,Brazil,Indigenous Territory,Y,279897.7,21c36bdf-2cbd-40e4-b126-beba9db388cb,{8481575E-AB09-432C-84EC-496B0B697C8A},370806.796037642,2846296300.10675
11,Alto Rio Negro,Brazil,Indigenous Territory,Y,7999381.1683,20bfa3dc-8226-4f9c-a5c6-c390159ba65e,{763B7E3A-74D5-4B3B-B966-2F68C1E9B882},1913273.23324985,80598046246.3128
12,Alto Rio Purus,Brazil,Indigenous Territory,Y,263129.8062,2dee5e10-205b-4b67-9d21-4707963973c5,{A2C1A401-0A2C-4955-B401-B97C05A2932B},394433.845352965,2705650810.25405
13,Alto Sepatini,Brazil,Indigenous Territory,Y,26095.6979,7dc2c806-38ce-4e55-9725-75b9fa4678aa,{E5232AD0-F9A1-441E-B216-5082E107E558},97398.2631929185,267494978.172729
14,Alto Tarauacß,Brazil,Indigenous Territory,Y,142619.1069,6f4415b3-b8f2-48d8-97b2-6315cf87ab34,{ABF90464-1D54-412F-B1BD-A7BBF79BDFD2},243169.119507597,1473797243.07853
15,Alto Turiatu,Brazil,Indigenous Territory,Y,530524.7417,aecd338c-830d-47d5-93f2-758880531840,{BDA688DF-F5B9-44A6-9321-67C3F93C9ABF},398937.191661598,5343454498.94262
16,Amambai,Brazil,Indigenous Territory,Y,2429.5454,7cbd4bcb-bcd6-4d49-9e1c-1e92ea4d9faa,{1990AA87-A1E3-4652-9A16-B800FEE85C6A},26058.2997883555,28808765.5750288
17,AnambT,Brazil,Indigenous Territory,Y,7882.8329,6f023af2-b17f-4867-8613-baf2241cefac,{D6B06D3D-E1BE-4704-A851-091527D812EF},42519.6461693803,86742664.7434152
18,Ananßs,Brazil,Indigenous Territory,Y,1769.422,994d4103-c258-48f7-80e6-8b3e09613221,{4F24D2DD-90A8-415E-BBD2-93F489F36CB4},34791.771524272,26421076.8274656
19,Andirß-Marau,Brazil,Indigenous Territory,Y,788528.383,9577e2f8-0454-48bd-809e-72c444dfa289,{A0F51CFC-895B-470E-8F18-E09D7DD3C8A9},486862.474022849,7992683205.28218
20,Aningal,Brazil,Indigenous Territory,Y,7627.0391,d78c9744-48d0-45c4-b76f-c426aa55f5d9,{D657BFF0-03BD-4A25-8FF0-6149F407651B},40014.3191391507,77460071.4513314
21,Anta,Brazil,Indigenous Territory,Y,3173.8226,22b921e2-b8de-42f1-9489-d574bdc80ac1,{E95820CB-B00E-43B7-AA82-BF3341B9A588},33393.3459564983,32965876.3468066
22,Apiaka/Kayabi,Brazil,Indigenous Territory,Y,109245.3822,9901e78c-8719-43aa-a31a-1516935e930a,{C434A024-4186-47B2-A675-87AA81C0CCF8},155140.605490658,1144313862.46691
23,ApinayT,Brazil,Indigenous Territory,Y,141904.2092,34c01f02-2b8e-43db-bca4-52b75eccc007,{16A18693-AFC7-4B46-95EB-71E0FC7EC441},180871.807257842,1443252919.26791
24,Apipica,Brazil,Indigenous Territory,Y,652.7562,3130a6a4-bcf3-44a3-90bc-2aaadc291660,{0F69FBB1-04E2-4241-BAD3-164D5D90F355},21960.0486012496,6587934.53473832
25,Apucarana,Brazil,Indigenous Reserve,Y,5574.945,3d2844b6-6a18-4fa8-9381-731db6e38cd6,{B9C779D0-0D05-4B00-88CE-716F1317B769},51867.9020291986,67353383.6334035
26,Apurinp do IgarapT Spo Jopo,Brazil,Indigenous Territory,Y,18232.4221,e37b68b5-65db-4c45-9f77-aad2224df6c5,{48A75764-2C8B-491D-A580-EBDC182CC6E5},88821.3651630487,185421364.889575
27,Apurinp IgarapT Tauamirim,Brazil,Indigenous Territory,Y,96456.5072,baba075f-93be-48f8-ad1d-32655689990b,{728CA53E-B628-41D8-AD3C-5E3D2310A1CF},153264.420608988,1021316377.55717
28,Apurinp Km 124 BR-317,Brazil,Indigenous Territory,Y,42197.6055,fa136f1b-b6ea-4004-a7af-5e3415a51bce,{76767F7B-9925-48BF-B168-5EFF60500AD8},107359.57562484,437010780.503047
29,Apyterewa,Brazil,Indigenous Territory,Y,773470.0313,847f1897-60f9-4fb8-ad8d-3f631e7df7ba,{16911046-F2C6-47B9-B70B-35F30F776F2D},532244.358543264,7865172561.16366
30,Aratß,Brazil,Indigenous Territory,Y,50018.3,1865d3dc-4852-4768-bb58-dad58def3522,{395DDDDD-3D5A-479C-AE7A-C313274FFF4B},132952.385081957,514841773.389759
31,Arara,Brazil,Indigenous Territory,Y,274010.024,d8e806ae-5d83-4d6d-8338-f7227cca57f2,{83B647E9-4432-4FAD-BC9B-CEE546126BDB},313171.632485423,2779007706.60552
32,Arara do Rio Branco,Brazil,Indigenous Territory,Y,114842.4748,15d30869-e7c1-480a-af98-ac28d806e638,{00E5DCA9-B29E-4BDC-A69C-44ACD7585999},186512.964422713,1188089461.82119
33,Arara do IgarapT Humaitß,Brazil,Indigenous Territory,Y,87571.6965,e210e172-a7c1-412b-b478-76f6da5b74e2,{A370F755-8195-4417-8657-48F90B0FAED1},141891.099541844,899571330.110334
34,Araribß,Brazil,Indigenous Territory,Y,1930.3369,89db7d62-a15f-4ea6-af94-6283b315aa8f,{083EC74C-A560-45E1-8678-5E0B56BCBF36},27868.4468577329,22713835.4207198
35,Arariboia,Brazil,Indigenous Territory,Y,413288.0472,fcb3c4d5-0ac2-491b-b710-7c55d389d0f5,{B35061B7-6A3E-4CA2-A096-3227D18207CA},279177.629436205,4198295472.21221
36,Arary,Brazil,Indigenous Territory,Y,40750,fb5cfeb2-8829-4089-9426-de7095872a2a,{9C7DBBD7-76CE-424E-B0A7-2526F4D09908},112958.005413687,412809181.684742
37,ArawetT IgarapT Ipixuna,Brazil,Indigenous Territory,Y,940900.8,83fd51b8-a031-4fce-bc2c-b6b5b031dc96,{DE8D980B-9FD5-4B4D-A73B-A7B51436ACF5},588713.645082748,9543183120.87097
38,Are)es,Brazil,Indigenous Territory,Y,218515,31fa32cb-5ce8-49b6-af3a-8cc0cb4eaac3,{32CBF11E-0416-492F-9B5F-405E15FB961B},317264.395400501,1932790901.94764
39,Aripuanp,Brazil,Indigenous Territory,Y,750649.265,9ed114bf-3f04-43ab-8704-b883b3cd65c9,{AEF705EC-3C28-4D7A-A0A0-1766C2EF856D},602046.296575916,7802825925.07758
40,Ariramba,Brazil,Indigenous Territory,Y,142.2979,fc2a323b-1f69-4b0d-bd73-db30f645a1d9,{3881E779-1D93-45A2-8E72-FA06CDD3E773},70505.0006543648,105521643.112045
41,Arroio-Korß,Brazil,Indigenous Territory,Y,7175.7747,bb011240-9142-47ac-a972-62fb1cd75777,{83DD0E80-A119-4690-AEBE-74F57A544090},53262.0957578755,85995186.2733964
42,Atikum,Brazil,Indigenous Territory,Y,16290.1893,ce984755-ef7d-4824-ab70-8c4ab4bbabc2,{04B029FF-CBD7-42B4-8127-F145E53D5654},53554.9452918501,167579182.268905
43,Avß-Canoeiro,Brazil,Indigenous Territory,Y,38000,d8e5ced2-dcc7-4452-b8a8-b33456f38061,{02772B8F-B14E-48FE-9D72-E23633ABA985},114832.27941413,412969296.107882
44,Avß-Guarani do Ocof,Brazil,Indigenous Reserve,Y,231.887,dc1680fe-e39f-481f-8980-f141c63c9ed0,{AE21581C-DB14-444E-BFCD-C790A32ACA53},27609.1844836578,3246241.23644355
45,Awa,Brazil,Indigenous Territory,Y,116582.9182,1e3ca4f0-9b94-4b17-ad45-d6b8b2a9c473,{B01E46AD-EF56-4427-94EB-2D4531D47EF7},209944.306659595,1181612866.39136
46,Bacurizinho,Brazil,Indigenous Territory,Y,82432.4931,ec646996-c95b-49dd-af0f-a520ca46c892,{E84CAF7E-17C3-4A30-A82B-AD7989934224},129735.749412469,840874685.235151
